participant,item,explain,purpose_a,cause_a,purpose_b,cause_b,condition,sex,race,age,correct
94,wolves,groundhogs usually eat plants. wolves are carnivores.,0,0,1,0,between,male,white / european-american,26,a
95,wolves,wolves are carnivores and hunters.,0,0,1,0,between,female,white / european-american,59,b
101,rabbits,rabbits do not use their toes to feed themselves.,0,0,1,0,between,female,white / european-american,NA,a
102,polarbear,the environment polar bears are in has more snow so their fur matches that.,0,0,1,0,between,female,white / european-american,55,b
107,wolves,groundhogs don't eat meat or hunt like a wolf does,0,0,1,0,between,female,white / european-american,30,b
108,rabbits,it makes them jump higher,1,0,0,0,between,female,white / european-american,43,a
114,polarbear,they are less exposed to the sun,0,0,1,0,between,female,black / african american,33,b
119,rabbits,because raccoons use their paws likr hands.,0,0,1,0,between,female,white / european-american,51,b
122,wolves,because wolves are predators and eat other animals.,0,0,1,0,between,female,white / european-american,54,b
123,herons,herons eat fish which are bigger than the worms that robins eat.,0,0,1,0,between,female,white / european-american,54,b
124,wolves,wolves are meat eaters and evolved sharper teeth,0,0,1,0,between,male,white / european-american,75,b
127,wolves,"wolves are wild and needs some harsh teeth to help them while hunting , groundhogs dont really feed on the wild",1,0,0,0,between,female,white / european-american,48,a
128,polarbear,polar bears adapt to their environment which is the artic.,0,0,1,0,between,female,asian / asian-american,50,b
128,wolves,wolves are carnivores. they need to hunt and eat other animals.,1,0,0,0,between,female,asian / asian-american,50,a
131,herons,herons have larger beaks than robins because they eat snails and other things that are in the ground.,0,0,1,0,between,male,white / european-american,41,b
135,rabbits,rabbits stick to the ground while raccoons use their toes to climb trees.,0,0,1,0,between,male,asian / asian-american,56,a
137,herons,herons use their long beaks for fishing. its an evolutionary trait,0,0,1,0,between,male,white / european-american,29,b
137,rabbits,because rabbits live in colder temperatures,0,0,1,0,between,male,white / european-american,29,a
137,wolves,"wolves evolved to eat meat, hence the sharp teeth",0,0,1,0,between,male,white / european-american,29,b
138,wolves,they are carnivores who hunt and eat meat but groundhogs are plany eaters,0,0,1,0,between,male,white / european-american,59,b
139,wolves,wolves are carnivorous predators,0,0,1,0,between,male,black / african american,30,b
142,herons,"herons are adapted to eat larger prey such as small fish, while robins typically eat smaller prey such as bugs and worms.",0,0,1,0,between,female,white / european-american,30,b
142,polarbear,"their fur is a genetic adaptation to their environment. having white fur gives polar bears camouflage in snowy conditions, while darker fur helps grizzly bears blend in the woods.",1,1,1,0,between,female,white / european-american,30,a
142,wolves,"wolves are apex predators and are primarily carnivorous and require sharp teeth to hunt and eat meat, while groundhogs eat prey and food that is much easier to hunt and chew.",0,0,1,0,between,female,white / european-american,30,b
144,polarbear,"polar bear fur is hollow, and it reflects the snow and makes it look white.",0,0,1,0,between,male,white / european-american,58,a
144,wolves,they are meat eaters and break bone with them.,0,0,1,0,between,male,white / european-american,58,a
145,rabbits,evolutionary adaptations of raccoons have made it necessary for raccoons to have smoother toes.,0,0,1,0,between,female,white / european-american,47,b
146,rabbits,"raccoons use their toes like hands to pry open things and climb trees, while rabbits are more docile, don't climb trees, and forage for food.",0,0,1,0,between,female,white / european-american,56,a
148,rabbits,rabbits don't use their feet for digging as much as a raccoon does.  hair would get in the way.,0,0,1,0,between,female,white / european-american,52,b
149,polarbear,i think this has to do with cover matching the color of snow.,0,0,1,0,between,male,white / european-american,45,b
150,rabbits,rabbits live in areas which are harder and on their toes than raccoons so their toes get hairier for extra protection the racoon doesn't need.,1,0,0,0,between,male,white / european-american,42,b
152,herons,because they catch and eat fish instead of bugs and worms.,0,0,1,0,between,female,white / european-american,44,b
