participant,item,explain,purpose,cause,condition,sex,race,age
16,herons,random trait caused by evolutionary forces,0,0,within,male,white / european-american,52
16,polarbear,random trait caused by evolutionary forces,0,0,within,male,white / european-american,52
16,rabbits,random trait ultimately caused by evolutionary forces.,0,0,within,male,white / european-american,52
16,wolves,random trait caused by evolutionary forces,0,0,within,male,white / european-american,52
17,herons,normal variations in herons.,0,0,within,male,white / european-american,68
17,polarbear,normal variations. not all animals are identical.,0,0,within,male,white / european-american,68
17,rabbits,normal variations. some have more fur than others.,0,0,within,male,white / european-american,68
17,wolves,normal variations in pups.,0,0,within,male,white / european-american,68
18,herons,genetics,0,1,within,female,white / european-american,28
18,polarbear,differing genetic traits,0,1,within,female,white / european-american,28
18,rabbits,different genetics,0,1,within,female,white / european-american,28
18,wolves,genetics. they are puppy teeth anyways and will fall out,0,1,within,female,white / european-american,28
19,herons,"because of genetic variation that is passed down by the parents, some heron chicks beaks are larger than others, which can influence physical characteristics such as beak size.",0,1,within,male,white / european-american,32
19,polarbear,"the fur of polar bear cubs varies in color, with some being cooler than others due to variations at the genetic level that determine the pigmentation of the bear fur which can also be dependent on environmental factors such as exposure to sunlight or age.",0,1,within,male,white / european-american,32
19,rabbits,"the rabbits are born with different hairy legs, depicting a genetic hairy toe set by the parents.",0,1,within,male,white / european-american,32
19,wolves,the structure of their teeth differs because wolves can have sharper teeth than their peers by reason of genetic diversity and selection preferring characteristics that enhance hunting and survival.,0,1,within,male,white / european-american,32
20,herons,"again, it is genetics. it could possible be based on the gender of the chicks. perhaps the males and females have different beak shapes.",0,1,within,male,white / european-american,56
20,polarbear,i think it is variations in the genetics coming from both parents. some cubs take after the mom and some take after the dad.,0,1,within,male,white / european-american,56
20,rabbits,i think this is from crossing with other rabbits in nature. the traits of different rabbits have inter-mingled and the baby rabbits are showing different traits.,0,0,within,male,white / european-american,56
20,wolves,"this is probably a trait passed down through genetics. just like people, families do not all have the same shaped teeth.",0,1,within,male,white / european-american,56
21,herons,"they might have larger beaks due to their parents, maybe some were exposed to different nutrients when in the womb to grow larger, just like how human babies come out with different sized noses.",0,0,within,male,white / european-american,36
21,polarbear,some polar bears might have whiter fur due to genetics. me and my sister have completely different colored hair but our mom has a shade of hair in the middle. the polar bears might also be in the sun more to whiten the fur.,0,1,within,male,white / european-american,36
21,rabbits,the rabbits might have ate different foods to increase the hair growth. they also may have different hormone levels that make them grow different types of hair and more of it.,0,0,within,male,white / european-american,36
21,wolves,"this may be because of genetics, or maybe the certain things they all started eating differently. the different food maybe sharpened the teeth with the way they bite down.",0,1,within,male,white / european-american,36
22,herons,"as said previously for the rabbits, genetics plays a part in this. dating many generations back their ancestors have different genetic makeup causing this to be passed on changing generation after generation",0,1,within,male,native hawaiian / pacific islander,27
22,polarbear,genetics probably play a part in why some polar bears have whiter fur,0,1,within,male,native hawaiian / pacific islander,27
22,rabbits,"as said previously for the bears, genetics plays a part in this. dating many generations back their ancestors have different genetic makeup causing this.",0,1,within,male,native hawaiian / pacific islander,27
22,wolves,"as said previously for the beaks, genetics plays a part in this. dating many generations back their ancestors have different genetic makeup, causing this, possibly due to their predator lifestyle",0,1,within,male,native hawaiian / pacific islander,27
23,herons,it is a variance in their genes,0,1,within,female,white / european-american,53
23,polarbear,it is a variance in their genes,0,1,within,female,white / european-american,53
23,rabbits,it is a variance in their genes,0,1,within,female,white / european-american,53
23,wolves,it is a variance in their genes,0,1,within,female,white / european-american,53
24,herons,i guess it's just genetics. the dna of the chicks isn't exactly the same and some have larger beaks.,0,1,within,male,white / european-american,46
24,polarbear,same answer. i think they have similar dna but not exactly the same.,0,1,within,male,white / european-american,46
24,rabbits,it mas to be genetics. human siblings are not exactly the same either.,0,1,within,male,white / european-american,46
24,wolves,the dna must be such that some have different teeth. it could be that males have sharper teeth.,0,1,within,male,white / european-american,46
25,herons,it could be due to sex or possibly the birth size of the chick.,0,0,within,female,white / european-american,64
25,polarbear,genetics or issues in vetro.,0,1,within,female,white / european-american,64
25,rabbits,perhaps the sex of the rabbit,0,0,within,female,white / european-american,64
25,wolves,genetics,0,1,within,female,white / european-american,64
26,herons,they inherited a gene that controlled their beak size.,0,1,within,other / prefer not to answer,white / european-american,35
26,polarbear,natural variations in genetics. some polar bears probably have more pigment in their fur and pass it along.,0,1,within,other / prefer not to answer,white / european-american,35
26,rabbits,there was a genetic advantage to having hairier toes and it was passed on as a recessive gene.,0,1,within,other / prefer not to answer,white / european-american,35
26,wolves,they use their teeth more.,0,0,within,other / prefer not to answer,white / european-american,35
27,herons,genetic variation. all depending on the type of bird this may or may be detremental to the species.,0,1,within,female,white / european-american,61
27,polarbear,genetic variations. even among identical twins there are slight changes in genes that though identical make them individuals.,0,1,within,female,white / european-american,61
27,rabbits,genetic variation once again.,0,1,within,female,white / european-american,61
27,wolves,"i doubt the varacity of this but  again, genetic variation.",0,1,within,female,white / european-american,61
28,herons,i think that this has to do with the chicks genetics that they got during their birth.,0,1,within,male,white / european-american,25
28,polarbear,some polar bears stay cleaner but also were born with a whiter coat of fur,0,0,within,male,white / european-american,25
28,rabbits,some bunnies got genes for hairier toes,0,1,within,male,white / european-american,25
28,wolves,i believe that this is genetic and can help describe why some wolves will have different colored fur as well.,0,1,within,male,white / european-american,25
29,herons,natural selection,0,0,within,female,white / european-american,25
29,polarbear,likely genetics and natural selection.,0,1,within,female,white / european-american,25
29,rabbits,just a coincidence.,0,0,within,female,white / european-american,25
29,wolves,just a coincidence with how their teeth grew.,0,0,within,female,white / european-american,25
30,herons,genetic or epigenetic factors,0,1,within,male,asian / asian-american,48
30,polarbear,genetic or epigenetic factors,0,1,within,male,asian / asian-american,48
30,rabbits,genetic variation,0,1,within,male,asian / asian-american,48
30,wolves,genetic or epigenetic variations,0,1,within,male,asian / asian-american,48
31,herons,depends on genetics. perhaps the parents or grandparents passed on these traits.,0,1,within,female,white / european-american,53
31,polarbear,their parents may have different color hair or maybe their grandparents had different color hair. it all depends on genetics and what is a dominant gene.,0,1,within,female,white / european-american,53
31,rabbits,it would be genetics where the parents or grandparents passed on different genes to each rabbit.,0,1,within,female,white / european-american,53
31,wolves,it could be genetics. perhaps the parents or grandparents were bred with a different animal that had different types of teeth.,0,1,within,female,white / european-american,53
32,herons,the traits each chicks will exhibit will show up,0,0,within,female,asian / asian-american,37
32,polarbear,their genes affect what fur they would express,0,1,within,female,asian / asian-american,37
32,rabbits,different traits are expressed in the rabbits according to their genes.,0,1,within,female,asian / asian-american,37
32,wolves,genes express differently in the litter of wolves,0,1,within,female,asian / asian-american,37
33,herons,genes,0,1,within,female,white / european-american,47
33,polarbear,genes,0,1,within,female,white / european-american,47
33,rabbits,genes,0,1,within,female,white / european-american,47
33,wolves,environmental factors,0,0,within,female,white / european-american,47
34,herons,comes down to basic biology and genetics.   plus some grow at quicker rates than the others do`,0,1,within,male,white / european-american,45
34,polarbear,this is a genetic trait that is seen all throught the animal kingdom,0,1,within,male,white / european-american,45
34,rabbits,it depends on their genes.   not all of the litter will look exactly the same all of the time,0,1,within,male,white / european-american,45
34,wolves,they naturally developed this way.  this is natural selection and nature will run its course!,0,0,within,male,white / european-american,45
35,herons,herons with large beaks mate with other herons that have the same dominant gene and they can produce chicks with large beaks,0,1,within,male,asian / asian-american,45
35,polarbear,the dominant gene in some bears is whiter than other gene pools of bears,0,1,within,male,asian / asian-american,45
35,rabbits,having hairy rabbit toes is based on genetics.,0,1,within,male,asian / asian-american,45
35,wolves,genetic disposition of wolves with sharper teeth are present.,0,1,within,male,asian / asian-american,45
36,herons,genetic reasons,0,1,within,female,white / european-american,48
36,polarbear,genetic reasons,0,1,within,female,white / european-american,48
36,rabbits,genetic reasons,0,1,within,female,white / european-american,48
36,wolves,genetic reasons,0,1,within,female,white / european-american,48
37,herons,the beaks are formed differently depending on the genetics and fathers that procreated,0,1,within,male,white / european-american,38
37,polarbear,the genes of the father and mother are passed on differently to the different polar bear cubs.,0,1,within,male,white / european-american,38
37,rabbits,some genetics are pushed on stronger than others when it comes to a litter of rabbits,0,1,within,male,white / european-american,38
37,wolves,i guess different genetics are based down slightly differently or there is a possibility there were two different fathers among the wolves.,0,1,within,male,white / european-american,38
38,herons,perhaps they are male or female differences,0,0,within,female,white / european-american,50
38,polarbear,im not sure it could be gender differences or just random.,0,0,within,female,white / european-american,50
38,rabbits,again perhaps it is a difference in physical traits of gender,0,0,within,female,white / european-american,50
38,wolves,perhaps its physical differences in gender.,0,0,within,female,white / european-american,50
39,herons,some chicks develop faster than others.,0,0,within,male,white / european-american,68
39,polarbear,i suppose it is genetics. they can be a mix of both parents.,0,1,within,male,white / european-american,68
39,rabbits,i really have no idea.,0,0,within,male,white / european-american,68
39,wolves,genetic predisposition.,0,1,within,male,white / european-american,68
40,herons,probably some kind of genetics similar to humans having bigger noses than others,0,1,within,male,white / european-american,34
40,polarbear,"similar to previous question, there are some kind of genetics at play and dna will result in variations of fur",0,1,within,male,white / european-american,34
40,rabbits,genetics there are many differences in hair in humans as well along with any other creature,0,1,within,male,white / european-american,34
40,wolves,"genetics as well, there will be differences in individuals from any species",0,1,within,male,white / european-american,34
41,herons,genetics and selective breeding?,0,1,within,male,white / european-american,37
41,polarbear,genetics again?,0,1,within,male,white / european-american,37
41,rabbits,genetics and maybe a defect in the genes?,0,1,within,male,white / european-american,37
41,wolves,genetics? maybe epigenetics?,0,1,within,male,white / european-american,37
42,herons,genetic variation,0,1,within,male,white / european-american,69
42,polarbear,genetic variation,0,1,within,male,white / european-american,69
42,rabbits,genetic variation,0,1,within,male,white / european-american,69
42,wolves,genetic variation,0,1,within,male,white / european-american,69
43,herons,some may simply have better genetics or perhaps are fed more (compete better for resources),0,1,within,male,white / european-american,50
43,polarbear,random selection,0,0,within,male,white / european-american,50
43,rabbits,random selection,0,0,within,male,white / european-american,50
43,wolves,random selection,0,0,within,male,white / european-american,50
44,herons,it depends with type of food they feed on,0,0,within,female,white / european-american,35
44,polarbear,it depends with environment they live in or found in,0,0,within,female,white / european-american,35
44,rabbits,it depends with the type of environment they live in,0,0,within,female,white / european-american,35
44,wolves,it depends with environment they are located and what type of food they eat,0,0,within,female,white / european-american,35
45,herons,to help them eat different types of food better. i also think it's a natural thing.,0,0,within,male,black / african american,31
45,polarbear,i think it's because they want stay hidden and blend in better with the snow.,0,0,within,male,black / african american,31
45,rabbits,they probably need extra warmth and grip for hopping around in colder and slippery places.,0,0,within,male,black / african american,31
45,wolves,i think it's because of their age.,0,0,within,male,black / african american,31
46,herons,normal genetic variation.,0,1,within,female,white / european-american,71
46,polarbear,normal genetic variation in fur color because cubs arose from different embryos.,0,1,within,female,white / european-american,71
46,rabbits,normal genetic variation.,0,1,within,female,white / european-american,71
46,wolves,normal genetic variation.,0,1,within,female,white / european-american,71
47,herons,it is genetics. the same way some humans have longer fingers,0,1,within,male,white / european-american,58
47,polarbear,they are young and the fur is unstained and hasn't aged,0,0,within,male,white / european-american,58
47,rabbits,something in the genetics,0,1,within,male,white / european-american,58
47,wolves,their genetics are slightly different.,0,1,within,male,white / european-american,58
48,herons,"larger beaks make them better predators, it helps keep nature in balance",0,0,within,female,white / european-american,23
48,polarbear,whiter fur probably provides better camouflage in snowy environments. genetics from the parents most likely determined the color of the fur,0,1,within,female,white / european-american,23
48,rabbits,"perhaps rabbits with hairier toes have some sort of ecological advantage over the others, creating natural competition.",1,0,within,female,white / european-american,23
48,wolves,natural selection most likely makes some animals stronger than others to even out the animal chain,0,0,within,female,white / european-american,23
49,herons,"i think that some heron chicks in a litter have larger beaks than others because they have adapted to fishing in oceans and lakes and by having a larger beak, this enables the bird to fish easier and more willingly.",1,0,within,male,latino / hispanic,38
49,polarbear,these polar bear cubs are not in the sun as long and have not spent that much time outside and therefore their fur is whiter than other polar bears fur in the group.,0,0,within,male,latino / hispanic,38
49,rabbits,"i think that some baby rabbits are simply from a different species that adapted to a more harsh, or cooler climate and this is why they have hairier toes than other types of rabbits.",0,0,within,male,latino / hispanic,38
49,wolves,"some of the wolf pups have sharper teeth because they are younger than the older wolves who have worn down their teeth over time and so they don't have new, sharper teeth like the younger wolves in the pact.",0,0,within,male,latino / hispanic,38
50,herons,genetic predispositions human babies differ also.,0,1,within,female,white / european-american,67
50,polarbear,it is in their genetic code,0,1,within,female,white / european-american,67
50,rabbits,genetic predisposition,0,1,within,female,white / european-american,67
50,wolves,genetic predispostion. there will be some differences between pups.,0,1,within,female,white / european-american,67
51,herons,"genetics, based on their parents' characteristics",0,1,within,female,white / european-american,30
51,polarbear,i think it's probably due to genetics and inheritance. it probably depends on which gene is dominant between one/both parents,0,1,within,female,white / european-american,30
51,rabbits,"i would imagine it is a genetic quality, passed down by one or both parents.",0,1,within,female,white / european-american,30
51,wolves,"genetics, some wolves' parents pass down their sharp teeth",0,1,within,female,white / european-american,30
52,herons,this one is almost certainly a natural genetic variation in the same way human noses in the same family vary in shape and size.,0,1,within,male,white / european-american,52
52,polarbear,"it's in all likelihood a genetic adaptation to environmental exposure or stimuli. or it's simply natural hue or shade variant in mammalian fur color, even monochromatic ones.",0,1,within,male,white / european-american,52
52,rabbits,"the follicles for those hairs are more numerous and/or coded to produce thicker or longer toe hairs. again, genetics.",0,1,within,male,white / european-american,52
52,wolves,"canid pup teeth are fairly sharp to begin with. if they are not born with exceptionally sharper teeth than average, i would say that some pups have not worn their teeth down as much as other pups while learning how to gnaw on bones and sticks.",0,0,within,male,white / european-american,52
53,herons,it is due to genes like the rabbits.,0,1,within,female,white / european-american,60
53,polarbear,it is due to genes. it could also be due to some cubs getting more or less nutrients in vitro. i'm not sure if fur color is affected in vitro/,0,1,within,female,white / european-american,60
53,rabbits,"it's due to the probability of the recessive trait coming out in some of them, or the mix of genes of mom and dad rabbit.",0,1,within,female,white / european-american,60
53,wolves,i think it is due to genes or in vitro conditions as i described in the polar bear question.,0,1,within,female,white / european-american,60
54,herons,so they're better equipped to get things like worms when digging around,0,0,within,male,asian / asian-american,47
54,polarbear,"genetics, mutations, survival of the fittest- easier for them to blend into the snow",0,1,within,male,asian / asian-american,47
54,rabbits,"survival of the fittest, perhaps it's extra protection from the ground",0,0,within,male,asian / asian-american,47
54,wolves,genetics; easier for them to eat meat,0,1,within,male,asian / asian-american,47
55,herons,some grow bigger and faster than others,0,0,within,female,white / european-american,53
55,polarbear,different genes,0,1,within,female,white / european-american,53
55,rabbits,some grow faster than others,0,0,within,female,white / european-american,53
55,wolves,some grow faster than others,0,0,within,female,white / european-american,53
56,herons,that's how nature works,0,0,within,female,white / european-american,48
56,polarbear,same answer. that's how nature works. different arrangement of the genes.,0,1,within,female,white / european-american,48
56,rabbits,different outcome of the genes,0,1,within,female,white / european-american,48
56,wolves,it's nature,0,0,within,female,white / european-american,48
57,herons,genetics maybe not sure i wouldn't think every single chick in a litter is going to come out exactly the same.,0,1,within,male,white / european-american,29
57,polarbear,genetics,0,1,within,male,white / european-american,29
57,rabbits,genetics,0,1,within,male,white / european-american,29
57,wolves,birth defects possible different mating partners.,0,0,within,male,white / european-american,29
58,herons,"i feel like maybe gender, genetics or perhaps resources such as food being consumed more then by one then others. families sometimes stick to helping one child grow due to lack of chances by others.",0,1,within,male,asian / asian-american,36
58,polarbear,genetics or gender. perhaps their fur will change overtime as well.,0,1,within,male,asian / asian-american,36
58,rabbits,genetics or gender i think. perhaps they are different breeds and species of rabbit. perhaps their surroundings they need thicker fur for winter.,0,1,within,male,asian / asian-american,36
58,wolves,guessing gender maybe genetics have them grow at different rates. maybe they get more food and their bodies grow them quicker as a result.,0,1,within,male,asian / asian-american,36
59,herons,they are from different types of eggs,0,0,within,female,white / european-american,56
59,polarbear,because they are a different bread,0,0,within,female,white / european-american,56
59,rabbits,due to mutation,0,1,within,female,white / european-american,56
59,wolves,they could have different genes making their teeth different,0,1,within,female,white / european-american,56
60,herons,maybe there are differences between male vs female or just natural variation or more inheritance from one parent or the other.,0,0,within,male,white / european-american,35
60,polarbear,"genetics, diet.",0,1,within,male,white / european-american,35
60,rabbits,"genetics, grooming habits, movement.",0,1,within,male,white / european-american,35
60,wolves,"genetics, diet/behavior differences.",0,1,within,male,white / european-american,35
61,herons,genetic diversity,0,1,within,other / prefer not to answer,other / prefer not to answer,28
61,polarbear,natural selection,0,0,within,other / prefer not to answer,other / prefer not to answer,28
61,rabbits,genetic adaptation,0,1,within,other / prefer not to answer,other / prefer not to answer,28
61,wolves,to make them more fearsome predators,0,0,within,other / prefer not to answer,other / prefer not to answer,28
62,herons,just differences among the litter,0,0,within,female,white / european-american,34
62,polarbear,"they're just born that way, similar to a litter of puppies who don't all come out the same color. i'm unsure of why though for that either.",0,0,within,female,white / european-american,34
62,rabbits,i think maybe it's just genetics? maybe it's a luck of the draw situation.,0,1,within,female,white / european-american,34
62,wolves,they're just different among the litter. maybe a recessive gene or something,0,1,within,female,white / european-american,34
63,herons,some heron chicks are born with larger beaks than others,0,0,within,female,white / european-american,31
63,polarbear,some polar bear cubs have fur that is whiter than others when born.,0,0,within,female,white / european-american,31
63,rabbits,when they are born some babies have hairier toes than others.,0,0,within,female,white / european-american,31
63,wolves,some pups in a litter of wolves have sharper teeth than others.,0,0,within,female,white / european-american,31
64,herons,"some chicks have bigger beaks than others like how people are taller then each other, just random differences.",0,0,within,male,latino / hispanic,21
64,polarbear,"just like people have differences with skin color , polar bears have theirs too. it can be due to genes and other environmental situation",0,1,within,male,latino / hispanic,21
64,rabbits,"just like people have differences with with hair and other parts of the body, rabbits have theirs too.",0,0,within,male,latino / hispanic,21
64,wolves,"just like people have differences with teeth, wolves have theirs too. it can be due to genes and other environmental situation, small differences just happen.",0,1,within,male,latino / hispanic,21
65,herons,some chicks may have hatched earlier than the rest,0,0,within,male,white / european-american,31
65,polarbear,they have genetic variations,0,1,within,male,white / european-american,31
65,rabbits,genetic composition varies from one rabbit to another. environmental adaptation also matters.,0,1,within,male,white / european-american,31
65,wolves,differences in age may result to the same,0,0,within,male,white / european-american,31
66,herons,because they do not all have to be the same,0,0,within,female,white / european-american,55
66,polarbear,because they do not all have to be the same,0,0,within,female,white / european-american,55
66,rabbits,because they do not all have to be the same,0,0,within,female,white / european-american,55
66,wolves,because not every wolf has to be exactly the same,0,0,within,female,white / european-american,55
67,herons,i think that having a larger or smaller beak is determined by nature.,0,0,within,female,white / european-american,58
67,polarbear,i think genetics can really give meaning to this phenomenon.,0,1,within,female,white / european-american,58
67,rabbits,i believe genetics can explain this as well.,0,1,within,female,white / european-american,58
67,wolves,i think this is just by nature.,0,0,within,female,white / european-american,58
68,herons,i believe that as chicks get older their beaks get larger.,0,0,within,female,black / african american,51
68,polarbear,i believe some polar bears have whiter fur because as they get older their fur gets whiter.,0,0,within,female,black / african american,51
68,rabbits,as the rabbits get older their toes get hairier.,0,0,within,female,black / african american,51
68,wolves,"i think as wolves get older their teeth eat sharper, which would explain why some wolves teeth are sharper then others.",0,0,within,female,black / african american,51
69,herons,genetic difference,0,1,within,male,white / european-american,44
69,polarbear,genetics,0,1,within,male,white / european-american,44
69,rabbits,genetic variations,0,1,within,male,white / european-american,44
69,wolves,genetics or nutriton,0,1,within,male,white / european-american,44
70,herons,genetic diversity.,0,1,within,male,white / european-american,58
70,polarbear,genetics will often show different characteristics in genetic offspring.,0,1,within,male,white / european-american,58
70,rabbits,genetic diversity.,0,1,within,male,white / european-american,58
70,wolves,genetics plays a big role in individual characteristics.,0,1,within,male,white / european-american,58
71,herons,it may be due to development factors that they get more food from parents early on so impact the rapid growth of beaks with respect to others.,0,0,within,male,asian / asian-american,37
71,polarbear,its depend on generics and environmental effects. this impact on the brightness of fur.,0,1,within,male,asian / asian-american,37
71,rabbits,it is due to inherited like genes from their parents who have hairier on the toes.,0,1,within,male,asian / asian-american,37
71,wolves,some pups have strong genes that make sharper teeth than other wolves in the same age.,0,1,within,male,asian / asian-american,37
72,herons,i think beaks determine the type of food they eat and their diet.,1,0,within,female,white / european-american,36
72,polarbear,i think fur color is because of location where the bears live.,0,0,within,female,white / european-american,36
72,rabbits,dna,0,1,within,female,white / european-american,36
72,wolves,i think it is their dna and genes.,0,1,within,female,white / european-american,36
73,herons,"evolution, genes",0,1,within,male,asian / asian-american,30
73,polarbear,"evolution, genes",0,1,within,male,asian / asian-american,30
73,rabbits,"evolution, genes",0,1,within,male,asian / asian-american,30
73,wolves,"evolution, genes",0,1,within,male,asian / asian-american,30
74,herons,how they eat food and what they have to do to get the food.,1,0,between,male,asian / asian-american,28
74,polarbear,different environment so there furs are different.,0,0,between,male,asian / asian-american,28
74,rabbits,how much fur they have and the environment they are in.,0,0,between,male,asian / asian-american,28
74,wolves,wolves need sharper teeth for the food they hunt and eat.,1,0,between,male,asian / asian-american,28
75,herons,herons need larger beaks for eating fish,1,0,between,male,white / european-american,41
75,polarbear,to help stay warmer in the winter,1,0,between,male,white / european-american,41
75,rabbits,rabbits need more protection and warmth for their toes than raccoons.,1,0,between,male,white / european-american,41
75,wolves,wolves need sharper teeth for eating their larger prey,1,0,between,male,white / european-american,41
76,herons,they are larger birds,0,0,between,female,white / european-american,34
76,polarbear,their genes are different,0,1,between,female,white / european-american,34
76,rabbits,adaption to their environment is different.,0,0,between,female,white / european-american,34
76,wolves,they are carnivores,0,0,between,female,white / european-american,34
77,herons,to better get the fish out of the water.  robins don't need long beaks to get bugs and worms.,1,0,between,male,white / european-american,49
77,polarbear,to reflect the sunlight at the north pole off of their skin.,1,0,between,male,white / european-american,49
77,rabbits,to leave their scent behind better at their burrows for the young bunnies,1,0,between,male,white / european-american,49
77,wolves,their prey requires stronger and sharper teeth to break through bones.  groundhogs do not need them to eat their food which is primarily vegetation.,1,0,between,male,white / european-american,49
78,herons,herons probably evolved larger beaks than robins in order to facilitate eating different kinds of foods.,1,0,between,male,white / european-american,45
78,polarbear,"polar bears live in a snowy environment, and their white fur helps them to blend in.",1,0,between,male,white / european-american,45
78,rabbits,"rabbits tend to live in a wider variety of environments, including much colder environments, than raccoons. they may have evolved to have better covering on their toes to protect them from the elements.",1,0,between,male,white / european-american,45
78,wolves,wolves have sharper teeth because they eat meat and they need sharp teeth to tear and chew it.,1,0,between,male,white / european-american,45
79,herons,herons get their food from the water at different depths/,1,0,between,male,white / european-american,43
79,polarbear,their location and climate.,0,0,between,male,white / european-american,43
79,rabbits,raccoons have sharper thinner toes for climbing.,1,0,between,male,white / european-american,43
79,wolves,wolves eat more meat.,1,0,between,male,white / european-american,43
80,herons,for getting fish?,1,0,between,male,white / european-american,51
80,polarbear,to blend in with its environment.,1,0,between,male,white / european-american,51
80,rabbits,dealing with weather,1,0,between,male,white / european-american,51
80,wolves,diet,0,0,between,male,white / european-american,51
81,herons,evolutionary need,1,0,between,male,white / european-american,38
81,polarbear,evolutionary need,1,0,between,male,white / european-american,38
